"","Character","Gender","speaking_turns","Total_Words","role"
"1","Bailey","male",66,510,"supporting"
"2","Bill","male",2,32,"supporting"
"3","Bloat","male",1,2,"supporting"
"4","Carol","female",2,19,"supporting"
"5","Charlie","male",58,377,"supporting"
"6","Crush","male",7,64,"supporting"
"7","Deb","female",1,5,"supporting"
"8","Destiny","female",84,497,"supporting"
"9","Dory","female",399,4210,"lead"
"10","Female Aquarist","female",3,19,"supporting"
"11","Female Aquarist 2","female",1,11,"supporting"
"12","Female Blue Tang","female",4,29,"supporting"
"13","Female Blue Tang 2","female",1,4,"supporting"
"14","Female Crab","female",7,69,"supporting"
"15","Female Driver","female",5,30,"supporting"
"16","Female Educator","female",2,35,"supporting"
"17","Female Fish","female",2,14,"supporting"
"18","Female Fish 2","female",1,5,"supporting"
"19","Female Otter Trainer","female",2,17,"supporting"
"20","Female Worker","female",2,12,"supporting"
"21","Female Yellow Fish","female",1,4,"supporting"
"22","Fluke","male",34,262,"supporting"
"23","Gerald","male",3,3,"supporting"
"24","Giant Clam","male",6,95,"supporting"
"25","Gil","male",4,36,"supporting"
"26","Gurgle","male",1,6,"supporting"
"27","Hank","male",119,1131,"supporting"
"28","Jacques","male",1,1,"supporting"
"29","Jenny","female",55,410,"supporting"
"30","Kathy","female",5,31,"supporting"
"31","Male Aquarist","male",1,4,"supporting"
"32","Male Aquarist 2","male",2,10,"supporting"
"33","Male Blue Tang","male",1,8,"supporting"
"34","Male Blue Tang 2","male",2,28,"supporting"
"35","Male Worker","male",2,21,"supporting"
"36","Male Yellow Fish","male",1,3,"supporting"
"37","Male Yellow Fish 2","male",1,1,"supporting"
"38","Marlin","male",162,1612,"supporting"
"39","Mr. Ray","male",23,211,"supporting"
"40","Nemo","male",72,388,"supporting"
"41","Peach","male",1,4,"supporting"
"42","Rudder","male",25,123,"supporting"
"43","Sea Cucumber","male",3,3,"supporting"
"44","Sea Cucumber 2","male",1,4,"supporting"
"45","Sick Fish","male",2,6,"supporting"
"46","Sigourney Weaver","female",13,124,"supporting"
"47","Squirt","male",2,15,"supporting"
"48","Stan","male",18,82,"supporting"
"49","Wife Fish","female",19,108,"supporting"
"50","Woman 1","female",1,14,"supporting"
